clone_id	SHM	Donor count	Donor	Tissue	Isotype
832116	0.08058608058608059	1	CCM3	Gastric_pylorus	IgD
832152	0.08424908424908426	1	CCM3	Gastric_pylorus	IgD
835893	0.0	1	CCM3	Gastric_pylorus	IgD
863667	0.055350553505535055	1	CCM3	Gastric_pylorus	IgD
872832	0.025830258302583026	1	CCM3	Gastric_pylorus	IgD
885113	0.05145985401459854	1	CCM3	Gastric_pylorus	IgD
898052	0.007434944237918215	1	CCM3	Gastric_pylorus	IgD
946633	0.0	1	CCM3	Gastric_pylorus	IgD
952542	0.01845018450184502	1	CCM3	Gastric_pylorus	IgD
953971	0.05698529411764706	1	CCM3	Gastric_pylorus	IgD
982466	0.054945054945054965	1	CCM3	Gastric_pylorus	IgD
998156	0.02602230483271374	2	CCM3	Gastric_pylorus	IgD
998161	0.03438661710037175	1	CCM3	Gastric_pylorus	IgD
998163	0.01858736059479554	1	CCM3	Gastric_pylorus	IgD
998279	0.04832713754646841	1	CCM3	Gastric_pylorus	IgD
998596	0.02973977695167286	1	CCM3	Gastric_pylorus	IgD
999732	0.05090909090909091	1	CCM3	Gastric_pylorus	IgD
1013708	0.0583941605839416	1	CCM3	Gastric_pylorus	IgD
1013723	0.010948905109489052	1	CCM3	Gastric_pylorus	IgD
1021781	0.026415094339622643	2	CCM3	Gastric_pylorus	IgD
1021794	0.030418250950570342	1	CCM3	Gastric_pylorus	IgD
1025871	0.08394160583941605	1	CCM3	Gastric_pylorus	IgD
1027986	0.11029411764705882	1	CCM3	Gastric_pylorus	IgD
1038707	0.0	1	CCM3	Gastric_pylorus	IgD
1042343	0.0036363636363636364	1	CCM3	Gastric_pylorus	IgD
1048927	0.04	1	CCM3	Gastric_pylorus	IgD
1054175	0.003745318352059925	1	CCM3	Gastric_pylorus	IgD
1057545	0.07380073800738007	1	CCM3	Gastric_pylorus	IgD
1057570	0.04428044280442804	1	CCM3	Gastric_pylorus	IgD
1057657	0.040293040293040296	1	CCM3	Gastric_pylorus	IgD
1058067	0.0	1	CCM3	Gastric_pylorus	IgD
1061226	0.03676470588235294	1	CCM3	Gastric_pylorus	IgD
1102047	0.07894736842105263	1	CCM3	Gastric_pylorus	IgD
1102688	0.007272727272727273	1	CCM3	Gastric_pylorus	IgD
1117823	0.10740740740740741	1	CCM3	Gastric_pylorus	IgD
1123723	0.022222222222222223	1	CCM3	Gastric_pylorus	IgD
1135126	0.07835820895522388	1	CCM3	Gastric_pylorus	IgD
1142780	0.003676470588235294	1	CCM3	Gastric_pylorus	IgD
1143031	0.0035587188612099642	1	CCM3	Gastric_pylorus	IgD
1143729	0.12454212454212454	1	CCM3	Gastric_pylorus	IgD
1146887	0.0	1	CCM3	Gastric_pylorus	IgD
1156433	0.09558823529411764	1	CCM3	Gastric_pylorus	IgD
1164467	0.028469750889679714	1	CCM3	Gastric_pylorus	IgD
1181029	0.06227106227106227	1	CCM3	Gastric_pylorus	IgD
1181054	0.029411764705882353	1	CCM3	Gastric_pylorus	IgD
1182796	0.01098901098901099	1	CCM3	Gastric_pylorus	IgD
1188398	0.029197080291970802	1	CCM3	Gastric_pylorus	IgD
1237341	0.0771604938271605	1	CCM3	Gastric_pylorus	IgD
1242597	0.1070110701107011	1	CCM3	Gastric_pylorus	IgD
1244232	0.07390510948905109	1	CCM3	Gastric_pylorus	IgD
1251988	0.04059040590405904	1	CCM3	Gastric_pylorus	IgD
1257468	0.02973977695167286	1	CCM3	Gastric_pylorus	IgD
1265548	0.037037037037037035	1	CCM3	Gastric_pylorus	IgD
1265682	0.05223880597014925	1	CCM3	Gastric_pylorus	IgD
1266404	0.11070110701107011	1	CCM3	Gastric_pylorus	IgD
1266473	0.09225092250922509	1	CCM3	Gastric_pylorus	IgD
1277315	0.05166051660516605	1	CCM3	Gastric_pylorus	IgD
1284223	0.03663003663003663	1	CCM3	Gastric_pylorus	IgD
1291054	0.06909090909090909	1	CCM3	Gastric_pylorus	IgD
1330094	0.02181818181818182	1	CCM3	Gastric_pylorus	IgD
1337597	0.02960927960927961	1	CCM3	Gastric_pylorus	IgD
1337815	0.02197802197802198	1	CCM3	Gastric_pylorus	IgD
1342165	0.018867924528301886	1	CCM3	Gastric_pylorus	IgD
1361295	0.0541044776119403	1	CCM3	Gastric_pylorus	IgD
1368383	0.03597122302158273	1	CCM3	Gastric_pylorus	IgD
1392057	0.09157509157509158	1	CCM3	Gastric_pylorus	IgD
1396046	0.025830258302583026	1	CCM3	Gastric_pylorus	IgD
1403296	0.06227106227106227	1	CCM3	Gastric_pylorus	IgD
1403332	0.07692307692307693	1	CCM3	Gastric_pylorus	IgD
1403346	0.06642066420664207	1	CCM3	Gastric_pylorus	IgD
1406231	0.04710144927536232	1	CCM3	Gastric_pylorus	IgD
1437400	0.0	1	CCM3	Gastric_pylorus	IgD
1454077	0.022058823529411766	1	CCM3	Gastric_pylorus	IgD
1457478	0.0	1	CCM3	Gastric_pylorus	IgD
1469672	0.06666666666666667	1	CCM3	Gastric_pylorus	IgD
1492430	0.08487084870848709	1	CCM3	Gastric_pylorus	IgD
1515614	0.01838235294117647	1	CCM3	Gastric_pylorus	IgD
1518378	0.08088235294117647	1	CCM3	Gastric_pylorus	IgD
1519334	0.1213235294117647	1	CCM3	Gastric_pylorus	IgD
1519359	0.11397058823529412	1	CCM3	Gastric_pylorus	IgD
1521608	0.0	1	CCM3	Gastric_pylorus	IgD
1521671	0.06545454545454546	1	CCM3	Gastric_pylorus	IgD
1531011	0.01838235294117647	1	CCM3	Gastric_pylorus	IgD
1532534	0.014925373134328358	1	CCM3	Gastric_pylorus	IgD
1541716	0.08888888888888889	1	CCM3	Gastric_pylorus	IgD
1550364	0.039568345323741004	1	CCM3	Gastric_pylorus	IgD
1557053	0.06545454545454546	2	CCM3	Gastric_pylorus	IgD
1571942	0.08424908424908426	1	CCM3	Gastric_pylorus	IgD
1572254	0.05474452554744526	1	CCM3	Gastric_pylorus	IgD
1576592	0.0	1	CCM3	Gastric_pylorus	IgD
1577898	0.06805194805194806	2	CCM3	Gastric_pylorus	IgD
1582834	0.018518518518518517	1	CCM3	Gastric_pylorus	IgD
1597506	0.10545454545454545	1	CCM3	Gastric_pylorus	IgD
1599150	0.014652014652014652	1	CCM3	Gastric_pylorus	IgD
1601827	0.10037174721189591	1	CCM3	Gastric_pylorus	IgD
1622350	0.03636363636363636	1	CCM3	Gastric_pylorus	IgD
1635124	0.037037037037037035	1	CCM3	Gastric_pylorus	IgD
1656383	0.07692307692307693	1	CCM3	Gastric_pylorus	IgD
1662971	0.0	1	CCM3	Gastric_pylorus	IgD
1664787	0.0036363636363636364	1	CCM3	Gastric_pylorus	IgD
1667979	0.10583941605839416	1	CCM3	Gastric_pylorus	IgD
1672153	0.0072992700729927005	1	CCM3	Gastric_pylorus	IgD
1672154	0.0036496350364963502	1	CCM3	Gastric_pylorus	IgD
1728025	0.003703703703703704	1	CCM3	Gastric_pylorus	IgD
1737025	0.0	1	CCM3	Gastric_pylorus	IgD
1740127	0.044444444444444446	1	CCM3	Gastric_pylorus	IgD
1741110	0.04	1	CCM3	Gastric_pylorus	IgD
1747889	0.02962962962962963	1	CCM3	Gastric_pylorus	IgD
1755002	0.07063197026022305	1	CCM3	Gastric_pylorus	IgD
1767172	0.05947955390334572	1	CCM3	Gastric_pylorus	IgD
1771576	0.10545454545454545	1	CCM3	Gastric_pylorus	IgD
1779922	0.06666666666666667	1	CCM3	Gastric_pylorus	IgD
1790265	0.0	1	CCM3	Gastric_pylorus	IgD
1794906	0.08088235294117647	1	CCM3	Gastric_pylorus	IgD
1801577	0.0	1	CCM3	Gastric_pylorus	IgD
1810553	0.039568345323741004	1	CCM3	Gastric_pylorus	IgD
1820392	0.12087912087912088	1	CCM3	Gastric_pylorus	IgD
1826017	0.08424908424908426	1	CCM3	Gastric_pylorus	IgD
1843130	0.04059040590405904	1	CCM3	Gastric_pylorus	IgD
1867804	0.08455882352941177	1	CCM3	Gastric_pylorus	IgD
1882140	0.018518518518518517	1	CCM3	Gastric_pylorus	IgD
1884751	0.04744525547445255	1	CCM3	Gastric_pylorus	IgD
1901042	0.07692307692307693	1	CCM3	Gastric_pylorus	IgD
1912859	0.051094890510948905	1	CCM3	Gastric_pylorus	IgD
1918809	0.040740740740740744	1	CCM3	Gastric_pylorus	IgD
1923433	0.06569343065693431	1	CCM3	Gastric_pylorus	IgD
1925149	0.04059040590405904	1	CCM3	Gastric_pylorus	IgD
1935379	0.06666666666666667	1	CCM3	Gastric_pylorus	IgD
1938896	0.09225092250922509	1	CCM3	Gastric_pylorus	IgD
1938906	0.04395604395604396	3	CCM3	Gastric_pylorus	IgD
1938944	0.04428044280442804	1	CCM3	Gastric_pylorus	IgD
1943303	0.07434944237918216	1	CCM3	Gastric_pylorus	IgD
1945347	0.05904059040590406	1	CCM3	Gastric_pylorus	IgD
1956441	0.04363636363636364	1	CCM3	Gastric_pylorus	IgD
1967257	0.003703703703703704	1	CCM3	Gastric_pylorus	IgD
1972800	0.05185185185185185	1	CCM3	Gastric_pylorus	IgD
1978804	0.04363636363636364	1	CCM3	Gastric_pylorus	IgD
1981458	0.025454545454545455	1	CCM3	Gastric_pylorus	IgD
2051982	0.0	1	CCM3	Gastric_pylorus	IgD
2054351	0.040740740740740744	1	CCM3	Gastric_pylorus	IgD
2063088	0.04059040590405904	2	CCM3	Gastric_pylorus	IgD
2067147	0.0	2	CCM3	Gastric_pylorus	IgD
2080607	0.051045510455104554	1	CCM3	Gastric_pylorus	IgD
2082990	0.0	1	CCM3	Gastric_pylorus	IgD
2122483	0.06296296296296296	1	CCM3	Gastric_pylorus	IgD
2123996	0.04428044280442804	1	CCM3	Gastric_pylorus	IgD
2129591	0.07326007326007326	1	CCM3	Gastric_pylorus	IgD
2133738	0.040740740740740744	1	CCM3	Gastric_pylorus	IgD
2139098	0.032846715328467155	1	CCM3	Gastric_pylorus	IgD
2141642	0.03272727272727273	1	CCM3	Gastric_pylorus	IgD
2148365	0.007246376811594203	1	CCM3	Gastric_pylorus	IgD
2180577	0.07326007326007326	1	CCM3	Gastric_pylorus	IgD
2188037	0.047619047619047616	1	CCM3	Gastric_pylorus	IgD
2188078	0.07806691449814127	3	CCM3	Gastric_pylorus	IgD
2188784	0.08791208791208792	1	CCM3	Gastric_pylorus	IgD
2190061	0.01090909090909091	1	CCM3	Gastric_pylorus	IgD
2200620	0.054945054945054944	1	CCM3	Gastric_pylorus	IgD
2201684	0.13261648745519714	1	CCM3	Gastric_pylorus	IgD
2203418	0.04059040590405904	1	CCM3	Gastric_pylorus	IgD
2220339	0.010830324909747292	1	CCM3	Gastric_pylorus	IgD
2232950	0.12867647058823528	1	CCM3	Gastric_pylorus	IgD
2244755	0.01838235294117647	1	CCM3	Gastric_pylorus	IgD
2259279	0.07636363636363637	1	CCM3	Gastric_pylorus	IgD
2269473	0.051470588235294115	1	CCM3	Gastric_pylorus	IgD
2285435	0.08239700374531835	1	CCM3	Gastric_pylorus	IgD
2287597	0.0	1	CCM3	Gastric_pylorus	IgD
2415122	0.05454545454545454	1	CCM3	Gastric_pylorus	IgD
2423148	0.08727272727272728	1	CCM3	Gastric_pylorus	IgD
2446306	0.07272727272727272	1	CCM3	Gastric_pylorus	IgD
2447826	0.05090909090909092	2	CCM3	Gastric_pylorus	IgD
2453000	0.0072992700729927005	1	CCM3	Gastric_pylorus	IgD
2457437	0.06776556776556777	1	CCM3	Gastric_pylorus	IgD
2462074	0.021897810218978103	1	CCM3	Gastric_pylorus	IgD
2462075	0.06204379562043796	1	CCM3	Gastric_pylorus	IgD
1529	0.0625	1	CCM3	Gastric_pylorus	IgM
