clone_id	SHM	Isotype
1899	5.072463768115942	IgM
2791	7.011070110701106	IgA
2791	5.904059040590407	IgM
4325	1.4705882352941175	IgA
5669	3.4926470588235294	IgG
7060	5.035971223021583	IgG
7064	7.314148681055157	IgG
10742	12.151515151515149	IgG
11297	8.88888888888889	IgA
12149	3.9145907473309616	IgM
15732	6.985294117647061	IgG
16438	6.985294117647059	IgG
18500	2.205882352941177	IgM
20400	4.80373681528578	IgA
20400	4.797047970479705	IgD
20400	4.797047970479705	IgE
20400	4.797047970479706	IgG
22130	0.0	IgM
22791	1.552379973270278	IgM
22792	2.058768482126147	IgM
23589	5.970149253731343	IgE
23589	5.970149253731341	IgG
23599	5.646528931567366	IgG
23604	7.462686567164177	IgG
23605	5.243445692883896	IgG
23625	7.954545454545454	IgG
25657	1.9424460431654682	IgM
25770	2.18978102189781	IgA
25770	2.18978102189781	IgG
27248	9.205149135633912	IgE
27248	8.965248844792288	IgG
27249	8.888888888888888	IgG
27264	10.700146128899886	IgG
27264	13.211678832116789	IgM
27270	6.273062730627306	IgG
27273	7.107843137254903	IgG
27583	8.548585485854858	IgG
30394	6.390977443609022	IgE
33531	7.4074074074074066	IgG
34347	7.380073800738007	IgG
34911	4.37956204379562	IgG
35347	2.545454545454545	IgG
35446	4.332129963898916	IgM
38119	12.132352941176471	IgA
38135	10.70110701107011	IgG
38678	3.3834586466165413	IgM
41909	0.0	IgM
44125	5.147058823529412	IgG
44399	10.855018587360593	IgG
44689	1.8181818181818181	IgM
44960	4.411764705882353	IgM
45241	0.3703703703703704	IgM
47624	9.558823529411764	IgG
47654	1.4545454545454544	IgM
47790	1.4545454545454544	IgM
47839	8.02919708029197	IgG
49092	3.6764705882352935	IgG
49927	1.2962962962962965	IgA
51819	5.6985294117647065	IgG
52956	0.7407407407407408	IgM
55115	3.7453183520599254	IgM
55266	0.0	IgM
56466	1.4760147601476012	IgM
56824	2.9411764705882355	IgG
56908	4.37956204379562	IgG
58215	5.992509363295881	IgE
58215	7.57943548008598	IgG
58242	3.8271604938271615	IgG
59127	6.319702602230483	IgG
59434	2.9411764705882355	IgM
59455	0.0	IgM
59908	10.408921933085502	IgG
61176	2.9520295202952034	IgM
61863	10.947712418300652	IgM
63604	6.319702602230483	IgM
65765	4.0740740740740735	IgM
65795	0.7380073800738006	IgM
72117	4.49438202247191	IgM
72278	9.420289855072465	IgM
72442	2.247191011235955	IgM
72862	4.332129963898916	IgM
77196	8.99398779200514	IgM
79219	0.0	IgM
85244	7.631257631257632	IgM
85245	7.434944237918216	IgM
86761	1.7517301038062285	IgA
92828	4.9904414706797695	IgA
92828	4.428044280442805	IgD
92828	6.027060270602705	IgE
92828	5.854385466931599	IgG
92843	6.803519061583578	IgG
92860	6.934306569343067	IgE
92860	7.360097323600972	IgG
92872	5.090909090909091	IgA
92872	5.090909090909091	IgG
92985	0.0	IgM
93137	0.0	IgM
93581	5.109489051094891	IgE
93581	5.109489051094891	IgG
94065	0.0	IgM
95141	0.9963099630996308	IgM
99389	5.5762081784386615	IgA
99423	2.3897058823529416	IgA
100436	1.4814814814814816	IgM
101077	3.6764705882352935	IgA
101077	5.381695361071237	IgM
101934	1.492537313432836	IgM
103341	6.934306569343067	IgA
103341	6.934306569343067	IgE
103341	7.02575555769756	IgG
103383	4.484848484848485	IgG
104038	0.0	IgM
106109	0.0	IgM
108943	5.5762081784386615	IgE
108943	6.567534076827758	IgG
109085	7.222222222222223	IgA
109085	7.592592592592593	IgG
