Group1,Group2,n1,n2,P value,Effect size (Cohen's d)
IgM,IgD,42053,1712,9.799393144935402e-09,0.14
IgM,IgG,42053,42407,0.0,1.517
IgM,IgA,42053,11165,0.0,1.304
IgM,IgE,42053,2662,0.0,1.714
IgD,IgG,1712,42407,0.0,1.484
IgD,IgA,1712,11165,0.0,1.309
IgD,IgE,1712,2662,0.0,1.507
IgG,IgA,42407,11165,1.6077056219692204e-204,0.311
IgA,IgE,11165,2662,1.8244298847491083e-43,0.341
