Tissue_1,Tissue_1_nCDR3aaVJ,Tissue_2,Tissue_2_nCDR3aaVJ,Similarity score
PBMC,3184,BM,7198,0.045463301868618765
PBMC,3184,Spleen,1769,0.03916818090046437
PBMC,3184,Thymus,2865,0.07108612993883287
PBMC,3184,Tonsils,5670,0.03546419697311949
PBMC,3184,SLN,3362,0.039718912312862814
PBMC,3184,ALN,972,0.02743022136669875
PBMC,3184,HLN,13666,0.04462908011869436
PBMC,3184,MLN,21645,0.038986668814692496
PBMC,3184,ILN,1281,0.03717805151175812
PBMC,3184,Gastric_cardia,537,0.18274657350174683
PBMC,3184,Gastric_body,872,0.1893491124260355
PBMC,3184,Gastric_pylorus,4190,0.04665039327366423
PBMC,3184,Duodenum,2405,0.146716765074253
PBMC,3184,Jejunum,1568,0.10143097643097643
PBMC,3184,Ileum,3327,0.15235754876363078
PBMC,3184,Cecum,2615,0.13588549749956888
PBMC,3184,Ascending_colon,974,0.09668109668109669
PBMC,3184,Transverse_colon,1380,0.09772129710780017
PBMC,3184,Descending_colon,2205,0.11170903692707367
PBMC,3184,Sigmoid_colon,4395,0.12851299643752473
PBMC,3184,Rectum,1867,0.11720451395763215
PBMC,3184,Liver,740,0.02854230377166157
PBMC,3184,Gallbladder,162,0.04482964734010759
PBMC,3184,Parotid_gland,983,0.03311735061195104
BM,7198,Spleen,1769,0.13449314151890265
BM,7198,Thymus,2865,0.10414389347113187
BM,7198,Tonsils,5670,0.09107864470003109
BM,7198,SLN,3362,0.12518939393939393
BM,7198,ALN,972,0.05361077111383109
BM,7198,HLN,13666,0.09528374233128835
BM,7198,MLN,21645,0.037097389314565056
BM,7198,ILN,1281,0.06911192357589338
BM,7198,Gastric_cardia,537,0.014996767937944409
BM,7198,Gastric_body,872,0.021313506815365552
BM,7198,Gastric_pylorus,4190,0.11152089919213207
BM,7198,Duodenum,2405,0.01874414245548266
BM,7198,Jejunum,1568,0.013232945471138489
BM,7198,Ileum,3327,0.03154394299287411
BM,7198,Cecum,2615,0.02547640884540915
BM,7198,Ascending_colon,974,0.0149290259422418
BM,7198,Transverse_colon,1380,0.02214968524131499
BM,7198,Descending_colon,2205,0.02552376900989046
BM,7198,Sigmoid_colon,4395,0.030880703873026827
BM,7198,Rectum,1867,0.018532818532818532
BM,7198,Liver,740,0.05013857394809776
BM,7198,Gallbladder,162,0.006793478260869565
BM,7198,Parotid_gland,983,0.08605304974941938
Spleen,1769,Thymus,2865,0.07682347863616745
Spleen,1769,Tonsils,5670,0.0540395214410539
Spleen,1769,SLN,3362,0.10680179302280257
Spleen,1769,ALN,972,0.08609996351696461
Spleen,1769,HLN,13666,0.05766115970197603
Spleen,1769,MLN,21645,0.021183907064149653
Spleen,1769,ILN,1281,0.10032786885245902
Spleen,1769,Gastric_cardia,537,0.022549869904596703
Spleen,1769,Gastric_body,872,0.028019689511548655
Spleen,1769,Gastric_pylorus,4190,0.06343346199026682
