clone_id	IsotypeList	Donor count	CDR3aa len
8439	IgM	1	12
8440	IgM	1	12
8441	IgM	1	12
8442	IgM	1	12
8443	IgM	1	12
8444	IgM	1	12
8445	IgM	1	12
8446	IgM	1	12
8447	IgM	1	12
8644	IgM	1	12
8911	IgM	1	12
8912	IgM	1	12
8913	IgM	1	12
8914	IgM	1	12
8915	IgM	1	12
9377	IgM	1	12
9420	IgM	1	12
9421	IgM	1	12
9422	IgM	1	12
9652	IgM	1	12
9686	IgM	1	12
9690	IgM	1	12
9691	IgM	1	12
9692	IgM	1	12
9818	IgM	1	12
9819	IgM	1	12
9820	IgM	1	12
9821	IgM	1	12
9829	IgM	1	12
9830	IgM	1	12
9881	IgM	1	12
9882	IgM	1	12
9883	IgM	1	12
10583	IgM|IgG	1	12
10585	IgM	1	12
10586	IgM	1	12
10587	IgM	1	12
10588	IgM	1	12
10589	IgM	1	12
10590	IgM	1	12
10695	IgM	1	12
10696	IgM	1	12
10697	IgM	1	12
10698	IgM	1	12
10699	IgM	1	12
10742	IgA|IgM|IgE|IgG	2	12
10833	IgM	1	12
10834	IgM	1	12
10835	IgM	1	12
10836	IgM	1	12
10837	IgM	1	12
11096	IgM	1	12
11169	IgM	1	12
11170	IgM	1	12
11171	IgM	1	12
11172	IgM	1	12
11173	IgM	1	12
11453	IgM	1	12
11454	IgM	1	12
11455	IgM	1	12
11456	IgM	1	12
11457	IgM	1	12
11458	IgM	1	12
11693	IgM	1	12
11768	IgM	1	12
12045	IgM	1	12
12099	IgM	1	12
12100	IgM	1	12
12101	IgM	1	12
12102	IgM	1	12
12234	IgM	1	12
12533	IgM	1	12
12609	IgM	1	12
12610	IgM	1	12
12611	IgM	1	12
12638	IgM	1	12
12948	IgM	1	12
12949	IgM	1	12
13071	IgM	1	12
13072	IgM	1	12
13073	IgM	1	12
13074	IgM	1	12
13075	IgM	1	12
13076	IgM	1	12
13077	IgM	1	12
13078	IgM	1	12
13079	IgM	1	12
13080	IgM	1	12
13081	IgM	1	12
13082	IgM	1	12
13083	IgM	1	12
13084	IgM	1	12
13085	IgM	1	12
13086	IgM	1	12
13252	IgM	1	12
13871	IgM	1	12
14111	IgM	1	12
14280	IgM	1	12
14281	IgM	1	12
14282	IgM	1	12
14632	IgM	1	12
14724	IgM	1	12
14735	IgM|IgA	1	12
14766	IgM	1	12
14780	IgM	1	12
14857	IgM	1	12
14858	IgM	1	12
14859	IgM	1	12
14860	IgM	1	12
14861	IgM	1	12
14862	IgM	1	12
14863	IgM	1	12
14864	IgM	1	12
14865	IgM	1	12
14866	IgM	1	12
14867	IgM	1	12
14868	IgM	1	12
14869	IgM	1	12
14870	IgM	1	12
14871	IgM	1	12
15893	IgM	1	12
15894	IgM	1	12
16429	IgM|IgA	1	12
16430	IgM	1	12
16431	IgM	1	12
16432	IgM	1	12
16433	IgM	1	12
16434	IgM|IgA	1	12
16435	IgM	1	12
16436	IgM	1	12
16759	IgM	1	12
16760	IgM	1	12
17597	IgM	1	12
18092	IgM	1	12
18097	IgM	1	12
18157	IgM	1	12
18158	IgM	1	12
18159	IgM	1	12
18160	IgM	1	12
18161	IgM	1	12
18162	IgM	1	12
18163	IgM	1	12
18164	IgM	1	12
18165	IgM	1	12
18166	IgM	1	12
18657	IgM	1	12
18658	IgM	1	12
18659	IgM	1	12
18661	IgM|IgA|IgG	1	12
18682	IgM|IgG	1	12
18683	IgM|IgA	1	12
18691	IgM|IgA|IgG|IgD	1	12
19132	IgM	1	12
19244	IgM|IgA	1	12
19245	IgM	1	12
19246	IgM	1	12
19247	IgM	1	12
19248	IgM	1	12
19249	IgM	1	12
19250	IgM	1	12
19251	IgM	1	12
19252	IgM	1	12
19253	IgM	1	12
19254	IgM	1	12
19255	IgM	1	12
19256	IgM	1	12
19384	IgM	1	12
19584	IgM	1	12
19656	IgM	1	12
19814	IgM	1	12
19853	IgM	1	12
19854	IgM	1	12
19855	IgM	1	12
19856	IgM	1	12
19857	IgM	1	12
19858	IgM	1	12
19859	IgM	1	12
19860	IgM	1	12
19861	IgM	1	12
19862	IgM	1	12
19863	IgM	1	12
