Tissue_1,Tissue_1_nCDR3aaVJ,Tissue_2,Tissue_2_nCDR3aaVJ,Similarity score
PBMC,6060,BM,54,0.0013084723585214263
PBMC,6060,Spleen,1028,0.022855530474040632
PBMC,6060,Thymus,18341,0.008032457686160403
PBMC,6060,Tonsils,6578,0.03212533628738724
PBMC,6060,SLN,11508,0.03540528233151184
PBMC,6060,ALN,11981,0.03503131755445929
PBMC,6060,HLN,4569,0.029165490638818327
PBMC,6060,MLN,9470,0.032839665164198326
PBMC,6060,ILN,6793,0.036567338364584145
PBMC,6060,Gastric_cardia,1279,0.019621201798610165
PBMC,6060,Gastric_body,1055,0.031201686577652845
PBMC,6060,Gastric_pylorus,1955,0.04192139737991266
PBMC,6060,Duodenum,807,0.023008591815931265
PBMC,6060,Jejunum,447,0.01260181343168895
PBMC,6060,Ileum,594,0.019837691614066726
PBMC,6060,Cecum,1092,0.02069351230425056
PBMC,6060,Ascending_colon,1257,0.026513598469318028
PBMC,6060,Transverse_colon,898,0.02730669732681805
PBMC,6060,Descending_colon,773,0.024001170788818967
PBMC,6060,Sigmoid_colon,450,0.017204301075268817
PBMC,6060,Rectum,1826,0.031194521937610957
BM,54,Spleen,1028,0.0073937153419593345
BM,54,Thymus,18341,0.0006523511823865181
BM,54,Tonsils,6578,0.0012062726176115801
BM,54,SLN,11508,0.0008649022660439371
BM,54,ALN,11981,0.0006647278770253427
BM,54,HLN,4569,0.002163097555699762
BM,54,MLN,9470,0.00125997480050399
BM,54,ILN,6793,0.0008762961881115817
BM,54,Gastric_cardia,1279,0.00450112528132033
BM,54,Gastric_body,1055,0.009017132551848512
BM,54,Gastric_pylorus,1955,0.006968641114982578
BM,54,Duodenum,807,0.009291521486643438
BM,54,Jejunum,447,0.015968063872255488
BM,54,Ileum,594,0.015432098765432098
BM,54,Cecum,1092,0.006980802792321117
BM,54,Ascending_colon,1257,0.006102212051868803
BM,54,Transverse_colon,898,0.01050420168067227
BM,54,Descending_colon,773,0.012091898428053204
BM,54,Sigmoid_colon,450,0.011904761904761904
BM,54,Rectum,1826,0.006382978723404255
Spleen,1028,Thymus,18341,0.003510764623883525
Spleen,1028,Tonsils,6578,0.014199316329213778
Spleen,1028,SLN,11508,0.01419910657306956
Spleen,1028,ALN,11981,0.011530478899223614
Spleen,1028,HLN,4569,0.018224048597462926
Spleen,1028,MLN,9470,0.009716136406934655
Spleen,1028,ILN,6793,0.015599028257256106
Spleen,1028,Gastric_cardia,1279,0.019939315127871695
Spleen,1028,Gastric_body,1055,0.033605376860297645
Spleen,1028,Gastric_pylorus,1955,0.03419376466644318
Spleen,1028,Duodenum,807,0.029427792915531336
Spleen,1028,Jejunum,447,0.02711864406779661
Spleen,1028,Ileum,594,0.025893958076448828
Spleen,1028,Cecum,1092,0.016037735849056604
Spleen,1028,Ascending_colon,1257,0.02100656455142232
Spleen,1028,Transverse_colon,898,0.02596053997923157
Spleen,1028,Descending_colon,773,0.02109938922820655
Spleen,1028,Sigmoid_colon,450,0.02029769959404601
Spleen,1028,Rectum,1826,0.025227750525578137
Thymus,18341,Tonsils,6578,0.007624704041093141
Thymus,18341,SLN,11508,0.01239572514992127
Thymus,18341,ALN,11981,0.013389618099069982
Thymus,18341,HLN,4569,0.00907900480139677
Thymus,18341,MLN,9470,0.012225378447376938
Thymus,18341,ILN,6793,0.010583273653218747
Thymus,18341,Gastric_cardia,1279,0.004281345565749235
Thymus,18341,Gastric_body,1055,0.0032996494122499486
Thymus,18341,Gastric_pylorus,1955,0.005124162396531336
Thymus,18341,Duodenum,807,0.0020889910173386254
Thymus,18341,Jejunum,447,0.0010645092612305727
Thymus,18341,Ileum,594,0.0015843675732770002
Thymus,18341,Cecum,1092,0.0020583543457006123
Thymus,18341,Ascending_colon,1257,0.0025512807429329525
Thymus,18341,Transverse_colon,898,0.0027028431831176256
Thymus,18341,Descending_colon,773,0.0025112482996756304
Thymus,18341,Sigmoid_colon,450,0.001702942898195945
Thymus,18341,Rectum,1826,0.004760251896662865
Tonsils,6578,SLN,11508,0.02875152051310406
Tonsils,6578,ALN,11981,0.023708173931785117
Tonsils,6578,HLN,4569,0.020095092850094195
Tonsils,6578,MLN,9470,0.015204386839481556
Tonsils,6578,ILN,6793,0.024530700770323835
Tonsils,6578,Gastric_cardia,1279,0.026473208603792795
Tonsils,6578,Gastric_body,1055,0.018341412288746233
Tonsils,6578,Gastric_pylorus,1955,0.027657330364467363
Tonsils,6578,Duodenum,807,0.00920785375761679
Tonsils,6578,Jejunum,447,0.0056939501779359435
Tonsils,6578,Ileum,594,0.004740658114891244
Tonsils,6578,Cecum,1092,0.008083441981747066
Tonsils,6578,Ascending_colon,1257,0.009189534141671984
Tonsils,6578,Transverse_colon,898,0.01043338683788122
Tonsils,6578,Descending_colon,773,0.00979458577064345
Tonsils,6578,Sigmoid_colon,450,0.006545247581104155
Tonsils,6578,Rectum,1826,0.0159447881960971
SLN,11508,ALN,11981,0.041891949423134234
SLN,11508,HLN,4569,0.03234434285003421
SLN,11508,MLN,9470,0.026122604633425493
SLN,11508,ILN,6793,0.042511338178241626
SLN,11508,Gastric_cardia,1279,0.011574255102838821
SLN,11508,Gastric_body,1055,0.013531799729364006
SLN,11508,Gastric_pylorus,1955,0.020203520760603135
SLN,11508,Duodenum,807,0.008444985789687373
SLN,11508,Jejunum,447,0.0035131744040150566
SLN,11508,Ileum,594,0.005453644025780862
SLN,11508,Cecum,1092,0.006031746031746032
SLN,11508,Ascending_colon,1257,0.008773991382687035
SLN,11508,Transverse_colon,898,0.007254554247944543
SLN,11508,Descending_colon,773,0.0048855956355345655
SLN,11508,Sigmoid_colon,450,0.00485030941629035
SLN,11508,Rectum,1826,0.013649317534123294
ALN,11981,HLN,4569,0.02610271903323263
ALN,11981,MLN,9470,0.02135098596802014
ALN,11981,ILN,6793,0.041546820070310006
ALN,11981,Gastric_cardia,1279,0.008144796380090498
ALN,11981,Gastric_body,1055,0.010739490641301013
ALN,11981,Gastric_pylorus,1955,0.018369690011481057
ALN,11981,Duodenum,807,0.0059430716296528
ALN,11981,Jejunum,447,0.003540392661731574
ALN,11981,Ileum,594,0.0038170974155069585
ALN,11981,Cecum,1092,0.00489558632295571
