clone_id	SHM	Tissue	Group	TissueList	Tissue Count
194	6.985294117647059	Gastric_pylorus	Private	Gastric_pylorus	1
373	4.3478260869565215	Gastric_pylorus	Private	Gastric_pylorus	1
1282	7.352941176470587	Gastric_pylorus	Private	Gastric_pylorus	1
1528	6.296296296296296	Gastric_pylorus	Private	Gastric_pylorus	1
1529	6.25	Gastric_pylorus	Private	Gastric_pylorus	1
1913	9.684848484848484	Gastric_pylorus	Private	Gastric_pylorus	1
2366	5.640484976278336	Gastric_pylorus	Private	Gastric_pylorus	1
2761	1.4814814814814816	Gastric_pylorus	Private	Gastric_pylorus	1
3422	0.0	Gastric_pylorus	Private	Gastric_pylorus	1
3594	2.9411764705882355	Gastric_pylorus	Private	Gastric_pylorus	1
4029	4.562737642585552	Gastric_pylorus	Private	Gastric_pylorus	1
5467	6.985294117647059	Gastric_pylorus	Private	Gastric_pylorus	1
5790	2.5925925925925926	Gastric_pylorus	Private	Gastric_pylorus	1
6282	0.3690036900369004	Gastric_pylorus	Private	Gastric_pylorus	1
6283	9.96309963099631	Gastric_pylorus	Private	Gastric_pylorus	1
6815	0.3636363636363637	Gastric_pylorus	Private	Gastric_pylorus	1
7860	2.545454545454545	Gastric_pylorus	Private	Gastric_pylorus	1
7944	7.897153351698807	Gastric_pylorus	Private	Gastric_pylorus	1
8012	10.074074074074073	Gastric_pylorus	Private	Gastric_pylorus	1
8059	1.090909090909091	Gastric_pylorus	Private	Gastric_pylorus	1
8077	6.545454545454546	Gastric_pylorus	Private	Gastric_pylorus	1
8078	7.636363636363637	Gastric_pylorus	Private	Gastric_pylorus	1
8462	3.6900369003690034	Gastric_pylorus	Private	Gastric_pylorus	1
8589	6.642066420664207	Gastric_pylorus	Private	Gastric_pylorus	1
8644	2.9411764705882355	Gastric_pylorus	Private	Gastric_pylorus	1
9204	1.8050541516245486	Gastric_pylorus	Private	Gastric_pylorus	1
9329	0.7326007326007327	Gastric_pylorus	Private	Gastric_pylorus	1
9771	2.985074626865672	Gastric_pylorus	Private	Gastric_pylorus	1
10106	0.0	Gastric_pylorus	Private	Gastric_pylorus	1
10144	6.060606060606061	Gastric_pylorus	Private	Gastric_pylorus	1
10255	2.5735294117647056	Gastric_pylorus	Private	Gastric_pylorus	1
10563	1.492537313432836	Gastric_pylorus	Private	Gastric_pylorus	1
12115	3.202846975088968	Gastric_pylorus	Private	Gastric_pylorus	1
12116	1.681839301122753	Gastric_pylorus	Private	Gastric_pylorus	1
12409	1.7793594306049825	Gastric_pylorus	Private	Gastric_pylorus	1
12410	2.135231316725979	Gastric_pylorus	Private	Gastric_pylorus	1
12517	1.7793594306049825	Gastric_pylorus	Private	Gastric_pylorus	1
12518	1.7793594306049825	Gastric_pylorus	Private	Gastric_pylorus	1
12615	7.4074074074074066	Gastric_pylorus	Private	Gastric_pylorus	1
12616	4.9632352941176485	Gastric_pylorus	Private	Gastric_pylorus	1
12618	7.230392156862746	Gastric_pylorus	Private	Gastric_pylorus	1
12708	8.974358974358974	Gastric_pylorus	Private	Gastric_pylorus	1
12709	6.741573033707865	Gastric_pylorus	Private	Gastric_pylorus	1
12931	5.185185185185185	Gastric_pylorus	Private	Gastric_pylorus	1
13022	11.721611721611724	Gastric_pylorus	Private	Gastric_pylorus	1
13367	3.6630036630036633	Gastric_pylorus	Private	Gastric_pylorus	1
13381	3.296703296703297	Gastric_pylorus	Private	Gastric_pylorus	1
13454	3.448752505356277	Gastric_pylorus	Private	Gastric_pylorus	1
13455	1.8315018315018319	Gastric_pylorus	Private	Gastric_pylorus	1
13460	13.553113553113553	Gastric_pylorus	Private	Gastric_pylorus	1
13468	2.197802197802198	Gastric_pylorus	Private	Gastric_pylorus	1
13505	6.227106227106227	Gastric_pylorus	Private	Gastric_pylorus	1
13836	2.9304029304029307	Gastric_pylorus	Private	Gastric_pylorus	1
14172	4.227941176470589	Gastric_pylorus	Private	Gastric_pylorus	1
15289	6.666666666666668	Gastric_pylorus	Private	Gastric_pylorus	1
15418	6.072727272727272	Gastric_pylorus	Private	Gastric_pylorus	1
15420	4.029304029304029	Gastric_pylorus	Private	Gastric_pylorus	1
16811	7.2727272727272725	Gastric_pylorus	Private	Gastric_pylorus	1
16818	3.6496350364963517	Gastric_pylorus	Private	Gastric_pylorus	1
16830	2.9090909090909087	Gastric_pylorus	Private	Gastric_pylorus	1
16837	9.454545454545455	Gastric_pylorus	Private	Gastric_pylorus	1
16916	8.727272727272728	Gastric_pylorus	Private	Gastric_pylorus	1
16944	5.8181818181818175	Gastric_pylorus	Private	Gastric_pylorus	1
16948	6.1818181818181825	Gastric_pylorus	Private	Gastric_pylorus	1
16951	6.383838383838382	Gastric_pylorus	Private	Gastric_pylorus	1
16960	6.909090909090909	Gastric_pylorus	Private	Gastric_pylorus	1
16975	1.6198347107438018	Gastric_pylorus	Private	Gastric_pylorus	1
17102	5.8181818181818175	Gastric_pylorus	Private	Gastric_pylorus	1
17195	5.090909090909091	Gastric_pylorus	Private	Gastric_pylorus	1
