Tissue_1,Tissue_1_nCDR3aaVJ,Tissue_2,Tissue_2_nCDR3aaVJ,Similarity score
PBMC,1304,BM,31,0.0
PBMC,1304,Spleen,859,0.04623208506703652
PBMC,1304,Thymus,14210,0.005027716900863736
PBMC,1304,Tonsils,564,0.034261241970021415
PBMC,1304,SLN,9189,0.024206613933098257
PBMC,1304,ALN,7308,0.020668834184858337
PBMC,1304,HLN,12719,0.01825572274121087
PBMC,1304,MLN,4385,0.02390578309017402
PBMC,1304,ILN,6684,0.025788683024536806
PBMC,1304,Gastric_cardia,847,0.06508600650860065
PBMC,1304,Gastric_body,1427,0.039545953863053825
PBMC,1304,Gastric_pylorus,3190,0.027592345349354695
PBMC,1304,Duodenum,956,0.033628318584070796
PBMC,1304,Jejunum,473,0.019133370849746763
PBMC,1304,Ileum,1858,0.03289057558507274
PBMC,1304,Cecum,1963,0.022650749923477195
PBMC,1304,Ascending_colon,2029,0.019801980198019802
PBMC,1304,Transverse_colon,1245,0.022754021184778345
PBMC,1304,Descending_colon,563,0.01821103374397429
PBMC,1304,Sigmoid_colon,2082,0.026580035440047254
PBMC,1304,Rectum,470,0.02254791431792559
BM,31,Spleen,859,0.0
BM,31,Thymus,14210,0.0
BM,31,Tonsils,564,0.0
BM,31,SLN,9189,0.0
BM,31,ALN,7308,0.0
BM,31,HLN,12719,0.0
BM,31,MLN,4385,0.0
BM,31,ILN,6684,0.0
BM,31,Gastric_cardia,847,0.0
BM,31,Gastric_body,1427,0.0
BM,31,Gastric_pylorus,3190,0.0
BM,31,Duodenum,956,0.0
BM,31,Jejunum,473,0.0
BM,31,Ileum,1858,0.0
BM,31,Cecum,1963,0.0
BM,31,Ascending_colon,2029,0.0
BM,31,Transverse_colon,1245,0.0
BM,31,Descending_colon,563,0.0
BM,31,Sigmoid_colon,2082,0.0
BM,31,Rectum,470,0.0
Spleen,859,Thymus,14210,0.00570708076182892
Spleen,859,Tonsils,564,0.05621925509486999
Spleen,859,SLN,9189,0.016520700636942675
Spleen,859,ALN,7308,0.011999510224072488
Spleen,859,HLN,12719,0.015318898217705112
Spleen,859,MLN,4385,0.03585049580472922
Spleen,859,ILN,6684,0.016439082593132707
Spleen,859,Gastric_cardia,847,0.04806565064478312
Spleen,859,Gastric_body,1427,0.1679790026246719
Spleen,859,Gastric_pylorus,3190,0.025685354408495925
Spleen,859,Duodenum,956,0.06391184573002755
Spleen,859,Jejunum,473,0.06306306306306306
Spleen,859,Ileum,1858,0.07140228192859772
Spleen,859,Cecum,1963,0.0815024805102764
Spleen,859,Ascending_colon,2029,0.05678670360110803
Spleen,859,Transverse_colon,1245,0.0817490494296578
Spleen,859,Descending_colon,563,0.07032348804500703
Spleen,859,Sigmoid_colon,2082,0.07276436586195172
Spleen,859,Rectum,470,0.0782543265613243
Thymus,14210,Tonsils,564,0.0046026803844591855
Thymus,14210,SLN,9189,0.015043377922133425
Thymus,14210,ALN,7308,0.013012361743656473
Thymus,14210,HLN,12719,0.0178246500055702
Thymus,14210,MLN,4385,0.011616025813390697
Thymus,14210,ILN,6684,0.015028237771609075
Thymus,14210,Gastric_cardia,847,0.003984857541342897
Thymus,14210,Gastric_body,1427,0.005627677943339515
Thymus,14210,Gastric_pylorus,3190,0.008275862068965517
Thymus,14210,Duodenum,956,0.004351839641302914
Thymus,14210,Jejunum,473,0.002588026969965266
Thymus,14210,Ileum,1858,0.006845904904157331
Thymus,14210,Cecum,1963,0.00816175106659247
Thymus,14210,Ascending_colon,2029,0.005911694069831886
Thymus,14210,Transverse_colon,1245,0.005305726302167584
Thymus,14210,Descending_colon,563,0.002436878088404522
Thymus,14210,Sigmoid_colon,2082,0.008224895654308863
Thymus,14210,Rectum,470,0.003542234332425068
Tonsils,564,SLN,9189,0.019276120168153388
Tonsils,564,ALN,7308,0.013973577235772357
Tonsils,564,HLN,12719,0.011142061281337047
Tonsils,564,MLN,4385,0.01899373610830471
Tonsils,564,ILN,6684,0.01545253863134658
Tonsils,564,Gastric_cardia,847,0.041105598866052445
Tonsils,564,Gastric_body,1427,0.04118533400301356
Tonsils,564,Gastric_pylorus,3190,0.05860415556739478
Tonsils,564,Duodenum,956,0.02894736842105263
Tonsils,564,Jejunum,473,0.021215043394406944
Tonsils,564,Ileum,1858,0.028901734104046242
Tonsils,564,Cecum,1963,0.03403244954491492
Tonsils,564,Ascending_colon,2029,0.026224450443501735
Tonsils,564,Transverse_colon,1245,0.03648424543946932
Tonsils,564,Descending_colon,563,0.03371783496007098
Tonsils,564,Sigmoid_colon,2082,0.03779289493575208
Tonsils,564,Rectum,470,0.05222437137330754
SLN,9189,ALN,7308,0.05055464629932715
SLN,9189,HLN,12719,0.050027387255796966
SLN,9189,MLN,4385,0.0378665095034625
SLN,9189,ILN,6684,0.05544005544005544
SLN,9189,Gastric_cardia,847,0.017736149860502193
SLN,9189,Gastric_body,1427,0.019593067068575734
SLN,9189,Gastric_pylorus,3190,0.03893690928184829
SLN,9189,Duodenum,956,0.012025628388368655
SLN,9189,Jejunum,473,0.008072862761333057
SLN,9189,Ileum,1858,0.015750882592559065
SLN,9189,Cecum,1963,0.018113342898134863
SLN,9189,Ascending_colon,2029,0.017293635229096094
SLN,9189,Transverse_colon,1245,0.013417672992141078
SLN,9189,Descending_colon,563,0.007178014766201805
SLN,9189,Sigmoid_colon,2082,0.01703486824594091
SLN,9189,Rectum,470,0.008903613210477276
ALN,7308,HLN,12719,0.04154391571378639
ALN,7308,MLN,4385,0.026682630633712477
ALN,7308,ILN,6684,0.061892510005717556
ALN,7308,Gastric_cardia,847,0.01912936848559166
ALN,7308,Gastric_body,1427,0.017401259301659987
ALN,7308,Gastric_pylorus,3190,0.025909697085159077
ALN,7308,Duodenum,956,0.010648596321393998
ALN,7308,Jejunum,473,0.005654800154221823
ALN,7308,Ileum,1858,0.01658302421994327
ALN,7308,Cecum,1963,0.016179484413763347
