Tissue_1,Tissue_1_nCDR3aaVJ,Tissue_2,Tissue_2_nCDR3aaVJ,Similarity score
PBMC,12074,BM,756,0.022447388932190178
PBMC,12074,Spleen,7074,0.08167954877794026
PBMC,12074,Thymus,2680,0.02412904974922055
PBMC,12074,Tonsils,4719,0.0376347287560293
PBMC,12074,SLN,2508,0.02962556576601289
PBMC,12074,ALN,4409,0.037614511921373536
PBMC,12074,HLN,8893,0.04406925168121333
PBMC,12074,MLN,7234,0.0672260203024653
PBMC,12074,ILN,5071,0.04339457567804025
PBMC,12074,Gastric_cardia,4146,0.03514180024660912
PBMC,12074,Gastric_body,658,0.011624253848570531
PBMC,12074,Gastric_pylorus,1555,0.02465331278890601
PBMC,12074,Duodenum,1344,0.030257862572663587
PBMC,12074,Jejunum,1686,0.034011627906976746
PBMC,12074,Ileum,2377,0.048162756902636494
PBMC,12074,Cecum,2509,0.030309264211753412
PBMC,12074,Ascending_colon,2013,0.02598140129197132
PBMC,12074,Transverse_colon,3353,0.035651779347896546
PBMC,12074,Descending_colon,2466,0.02874828060522696
PBMC,12074,Sigmoid_colon,2163,0.0272529324998244
PBMC,12074,Rectum,2550,0.023933260393873085
PBMC,12074,Liver,235,0.014135998050207165
PBMC,12074,Gallbladder,560,0.014563875257242362
PBMC,12074,Parotid_gland,169,0.005064118271665441
BM,756,Spleen,7074,0.07126436781609195
BM,756,Thymus,2680,0.08090803259604191
BM,756,Tonsils,4719,0.0821917808219178
BM,756,SLN,2508,0.09436274509803921
BM,756,ALN,4409,0.09874152952565343
BM,756,HLN,8893,0.05658617473313297
BM,756,MLN,7234,0.019774718397997496
BM,756,ILN,5071,0.09816372061094902
BM,756,Gastric_cardia,4146,0.030599755201958383
BM,756,Gastric_body,658,0.03253182461103253
BM,756,Gastric_pylorus,1555,0.04067503245348334
BM,756,Duodenum,1344,0.01619047619047619
BM,756,Jejunum,1686,0.011466011466011465
BM,756,Ileum,2377,0.013405681455473986
BM,756,Cecum,2509,0.015313935681470138
BM,756,Ascending_colon,2013,0.02239075478512098
BM,756,Transverse_colon,3353,0.01606230226332441
BM,756,Descending_colon,2466,0.011793916821849782
BM,756,Sigmoid_colon,2163,0.01644398766700925
BM,756,Rectum,2550,0.019963702359346643
BM,756,Liver,235,0.06458123107971746
